aaa	T01445	Acidovorax avenae
lmy	T01164	Listeria monocytogenes 08-5923 (serotype 1/2a)
lmz	T02221	Listeria monocytogenes serotype 7 SLCC2482
lni	T05333	Lelliottia nimipressuralis
loa	T02664	Loa loa (eye worm)
lok	T03928	Legionella oakridgensis
loki	T04015	Lokiarchaeum sp. GC14_75
lor	T04391	Lactobacillus oris
lot	T04653	Leptotrichia sp. oral taxon 847
lpa	T01232	Legionella pneumophila 2300/99 Alcoy (serogroup 1)
lpap	T04768	Lactobacillus paracasei subsp. paracasei JCM 8130
lpar	T04617	Lactobacillus parabuchneri
lpb	T03680	Lactobacillus plantarum B21
lpc	T00532	Legionella pneumophila Corby
lpd	T04675	Lactobacillus paracollinoides
lpe	T01726	Legionella pneumophila subsp. pneumophila ATCC 43290 (serogroup 12)
lpf	T00208	Legionella pneumophila Lens (serogroup 1)
lpg	T05251	Lactobacillus pentosus
lph	T02174	Legionella pneumophila subsp. pneumophila HL06041035 (serogroup 1)
lpi	T02808	Lactobacillus paracasei subsp. paracasei 8700:2
lpil	T04150	Limnochorda pilosa
lpj	T00946	Lactobacillus plantarum JDM1
lpk	T03909	Lactococcus piscium
lpl	T00115	Lactobacillus plantarum WCFS1
lpm	T02689	Legionella pneumophila subsp. pneumophila Thunder Bay
lpn	T00199	Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1)
lpo	T02175	Legionella pneumophila subsp. pneumophila Lorraine (serogroup 1)
lpp	T00209	Legionella pneumophila Paris (serogroup 1)
lpq	T03050	Lactobacillus paracasei N1115
lpr	T02670	Lactobacillus plantarum subsp. plantarum P-8
lps	T01324	Lactobacillus plantarum subsp. plantarum ST-III
lpt	T02458	Lactobacillus plantarum ZJ316
lpu	T02511	Legionella pneumophila subsp. pneumophila LPE509
lpv	T05491	Limnobaculum parvum
lpw	T05840	Lactobacillus paragasseri
lpx	T04156	Lactobacillus paraplantarum
lpz	T02698	Lactobacillus plantarum 16
lra	T01961	Lactobacillus rhamnosus ATCC 8530
lrc	T02731	Lactobacillus rhamnosus LOCK908
lre	T00535	Lactobacillus reuteri DSM 20016
lrf	T00735	Lactobacillus reuteri JCM 1112
lrg	T02100	Lactobacillus rhamnosus GG
lrh	T00987	Lactobacillus rhamnosus GG
lri	T05503	Leminorella richardii
lrl	T00990	Lactobacillus rhamnosus Lc 705
lrm	T01626	Lactobacillus ruminis
lrn	T05231	Lactococcus raffinolactis
lro	T02730	Lactobacillus rhamnosus LOCK900
lrr	T02745	Lactobacillus reuteri TD1
lrt	T02701	Lactobacillus reuteri I5007
lru	T01551	Lactobacillus reuteri SD2112
lrz	T04563	Luteibacter rhizovicinus DSM 16549
lsa	T00299	Lactobacillus sakei
lsd	T05852	Litorilituus sediminis
lsg	T01184	Listeria seeligeri
lsh	T05293	Legionella sainthelensi
lsi	T01962	Lactobacillus salivarius CECT 5713
lsj	T03340	Lactobacillus salivarius JCM1046
lsl	T00337	Lactobacillus salivarius UCC118
lsn	T01627	Lactobacillus sanfranciscensis
lso	T01373	Candidatus Liberibacter solanacearum
lsp	T00656	Lysinibacillus sphaericus
lsr	T05897	Lonchura striata domestica (Bengalese finch)
lst	T03999	Leptospira santarosai
lsu	T05489	Leuconostoc mesenteroides subsp. suionicum
lsv	T05352	Lactuca sativa (garden lettuce)
lth	T01117	Lachancea thermotolerans
ltr	T05843	Leucobacter triazinivorans
lua	T05639	Lachnoanaerobaculum umeaense
lue	T05527	Luteimonas sp. 83-4
lul	T04497	Lutibacter sp. LPB0138
lum	T05077	Luteimonas sp. 100111
lus	T05957	Luteimonas sp. S-1072
lut	T04235	Lutibacter profundi
lve	T03090	Lipotes vexillifer (Yangtze River dolphin)
lvn	T04680	Lacinutrix venerupis
lvs	T04854	Yoonia vestfoldensis
lwe	T00422	Listeria welshimeri
lwi	T05637	Listeria weihenstephanensis
lxx	T00190	Leifsonia xyli subsp. xyli CTCB07
lxy	T02852	Leifsonia xyli subsp. cynodontis DSM 46306
lyb	T05347	Lysinibacillus sp. B2A1
lyd	T05661	Lysinimonas sp. 2DFWR-13
lys	T05299	Lysinibacillus sp. YS11
lyt	T05586	Lysobacter sp. TY2-98
lyz	T05455	Lysinibacillus sp. 2017
lzy	T05206	Lactobacillus zymae
maa	T00536	Mycoplasma agalactiae PG2
maad	T04332	Martelella sp. AD-3
mab	T00657	Mycobacteroides abscessus ATCC 19977
mabb	T02682	Mycobacteroides abscessus subsp. bolletii 50594
mabl	T03694	Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300
mac	T00080	Methanosarcina acetivorans
macr	T05070	Macrococcus sp. IME1552
mad	T01922	Marinobacter adhaerens
mae	T00552	Methanococcus aeolicus
maes	T05212	Mariprofundus aestuarium
maf	T01575	Mycobacterium tuberculosis variant africanum
mag	T00305	Magnetospirillum magneticum
maga	T04709	Microbulbifer agarilyticus
magn	T04817	Magnetospirillum sp. ME-1
magq	T03795	Magnetospira sp. QH-2
magx	T04231	Magnetospirillum sp. XM-1
mah	T01649	Methylomicrobium alcaliphilum
mai	T01630	Micavibrio aeruginosavorus ARL-13
maj	T03107	Metarhizium robertsii
mal	T01192	Mycoplasma agalactiae 5632
malb	T05607	Monopterus albus (swamp eel)
malg	T03981	Marinovum algicola
mali	T05903	Massilia albidiflava
malk	T05359	Microcella alkaliphila
mam	T02417	Mesorhizobium australicum
mamo	T04446	Mesorhizobium amorphae
man	T02517	Micavibrio aeruginosavorus EPB
mana	T05819	Methylomusa anaerophila
mao	T02662	Mycobacterium avium subsp. paratuberculosis MAP4
maq	T00454	Marinobacter hydrocarbonoclasticus VT8
maqu	T04311	Methylobacterium aquaticum
mar	T00647	Microcystis aeruginosa
mara	T05619	Marinobacter sp. Arc7-DN-1
marb	T05023	Maribacter cobaltidurans
marc	T04272	Methanogenic archaeon ISO4-H5
mare	T05877	Maribacter sp. MJ134
marf	T05592	Mariniflexile sp. TRM1-10
marg	T04176	Mycoplasma arginini
marh	T05015	Candidatus Micrarchaeota archaeon Mia14
mari	T04052	Marinobacter sp. CP1
marm	T04570	Maribacter sp. 1_2014MBL_MicDiv
marn	T04633	Marinitoga sp. 1137
marr	T04573	Marinilactibacillus sp. 15R
mars	T04398	Marinobacterium aestuarii
mart	T04597	Maribacter sp. T28
mas	T01494	Mahella australiensis
mass	T05157	Massilia violaceinigra
masw	T04122	Massilia sp. WG5
masy	T05528	Massilia sp. YMA4
masz	T05378	Massilia armeniaca
mat	T00724	Mycoplasma arthritidis
mau	T01296	Micromonospora aurantiaca
maur	T04977	Microbacterium aurum
mav	T00433	Mycobacterium avium 104
mavi	T03787	Mycobacterium avium subsp. paratuberculosis E1
mavu	T03847	Mycobacterium avium subsp. paratuberculosis E93
maw	T03104	Metarhizium acridum
max	T02624	Candidatus Methanomethylophilus alvus
mba	T00271	Methanosarcina barkeri Fusaro
mbac	T03844	Candidatus Methylopumilus turicensis
mbah	T05575	Moraxellaceae bacterium HYN0046
mbak	T04533	Methanosarcina barkeri 3
mbar	T03914	Methanosarcina barkeri 227
mbas	T05376	Marinifilaceae bacterium SPP2
mbat	T03869	Candidatus Methylopumilus planktonicus
mbb	T00463	Mycobacterium tuberculosis variant bovis BCG Pasteur 1173P2
mbc	T03034	Mycoplasma bovoculi
mbd	T05066	Melittangium boletus
mbe	T03105	Marssonina brunnea
mbf	T04546	Candidatus Melainabacteria bacterium MEL.A1
mbg	T02189	Methanoculleus bourgensis
mbh	T01568	Mycoplasma bovis Hubei-1
mbi	T02143	Mycoplasma bovis HB0801
mbj	T03291	Candidatus Izimaplasma sp. HR1
mbk	T02451	Mycobacterium tuberculosis variant bovis BCG Korea 1168P
mbl	T04324	Moraxella bovoculi
mbm	T01727	Mycobacterium tuberculosis variant bovis BCG Mexico
mbn	T00578	Methanoregula boonei
mbo	T00132	Mycobacterium tuberculosis variant bovis AF2122/97
mboi	T05535	Moraxella bovis
mbov	T05188	Mycoplasma bovigenitalium
mbp	T04456	Maize bushy stunt phytoplasma
mbq	T03268	Mycoplasma bovis CQ-W70
mbr	T01042	Monosiga brevicollis
mbry	T04837	Methylocystis bryophila
mbs	T02323	Marinobacter sp. BSs20148
mbt	T00864	Mycobacterium tuberculosis variant bovis BCG Tokyo 172
mbu	T00341	Methanococcoides burtonii
mbv	T01366	Mycoplasma bovis PG45
mbw	T03839	Methanosarcina barkeri Wiesmoor
mbx	T03796	Mycobacterium tuberculosis variant bovis BCG ATCC 35743
mby	T03838	Methanosarcina barkeri MS
mca	T00205	Methylococcus capsulatus
mcac	T03697	Mycoplasma capricolum subsp. capripneumoniae 9231-Abomsa
mcai	T03705	Mycoplasma capricolum subsp. capripneumoniae 87001
mcak	T04838	Macrococcus canis
mcal	T05910	Mus caroli (Ryukyu mouse)
mcan	T03615	Mycoplasma canadense
mcap	T03703	Mycoplasma capricolum subsp. capripneumoniae F38
mcar	T03704	Mycoplasma capricolum subsp. capripneumoniae ILRI181
mcas	T03936	Mycoplasma canis LV
mcat	T03381	Moraxella catarrhalis 25239
mcb	T02150	Mycolicibacterium chubuense
mcc	T01028	Macaca mulatta (rhesus monkey)
mcd	T01205	Mycoplasma crocodyli
mce	T01585	Mycobacterium canettii CIPT 140010059
mcf	T02918	Macaca fascicularis (crab-eating macaque)
mcg	T03636	Methyloceanibacter caenitepidi
mch	T00809	Methylorubrum extorquens CM4
mcha	T05045	Momordica charantia (bitter melon)
mchc	T05062	Mesoplasma chauliocola
mche	T04665	Mycobacteroides chelonae
mchi	T04926	Mycobacterium chimaera
mci	T01401	Mesorhizobium ciceri (biovar Biserrulae)
mcj	T01468	Methanothrix soehngenii
mck	T04557	Mycoplasma canis PG 14
mcl	T00848	Macrococcus caseolyticus
mcm	T03651	Mycoplasma californicum HAZ160_1
mcn	T01467	Metallosphaera cuprina
mco	T00919	Mycoplasma conjunctivae
mcol	T05286	Mesoplasma coleopterae
mcp	T00309	Mycoplasma capricolum subsp. capricolum ATCC 27343
mcq	T02419	Mycobacterium canettii CIPT 140060008
mcr	T03247	Mycoplasma californicum ST-6
mcs	T03217	Moraxella catarrhalis 25240
mct	T01224	Moraxella catarrhalis BBH18
mcu	T01257	Mobiluncus curtisii
mcub	T04503	Methanobacterium congolense
mcv	T02420	Mycobacterium canettii CIPT 140070008
mcw	T04340	Microbacterium chocolatum
mcx	T02421	Mycobacterium canettii CIPT 140070010
mcy	T02424	Mycoplasma cynos
mcys	T05801	Mycoavidus cysteinexigens
mcz	T02422	Mycobacterium canettii CIPT 140070017
mde	T03448	Musca domestica (house fly)
mdh	T04396	Methylomonas sp. DH-1
mdi	T00947	Methylorubrum extorquens DM4
mdl	T05600	Microplitis demolitor
mdm	T03194	Malus domestica (apple)
mdn	T04191	Methylomonas denitrificans
mdo	T01031	Monodelphis domestica (opossum)
mds	T03700	Mycoplasma dispar
mdv	T05355	Mogibacterium diversum
mdx	T05102	Mycobacterium dioxanotrophicus
mea	T00921	Methylorubrum extorquens AM1
mear	T03540	Candidatus Methanoplasma termitum
meb	T02687	Methanobrevibacter sp. AbM4
mec	T02056	Methylophaga frappieri
med	T01633	Megasphaera elsdenii
mee	T05184	Methylobacterium currus
mef	T03851	Methanosarcina sp. WH1
meg	T05599	Megasphaera sp. AJH120
meh	T01247	Methylotenera versatilis
mei	T00943	Methylovorus glucosetrophus
mej	T02055	Methylophaga nitratireducenticrescens
mek	T03821	Methanosarcina sp. Kolksee
mel	T01437	Methanobacterium lacus
mela	T05358	Melaminivora sp. SC2-9
melm	T05362	Melaminivora sp. SC2-7
mem	T00477	Methanoculleus marisnigri
mema	T04314	Methanoculleus sp. MAB1
men	T01562	Candidatus Moranella endobia PCIT
ment	T05159	Mesoplasma entomophilum
meo	T02613	Candidatus Moranella endobia PCVAL
mep	T01361	Methylovorus sp. MP688
meq	T03852	Methanosarcina sp. WWM596
mer	T02692	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
mes	T00374	Chelativorans sp. BNC1
mesc	T05761	Manihot esculenta (cassava)
mesm	T05904	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2
meso	T04603	Mesorhizobium sp. B7
mesp	T05918	Mesorhizobium sp. Pch-S
mesw	T04915	Mesorhizobium sp. WSM1497
met	T00679	Methylobacterium sp. 4-46
meta	T04283	Methylobacterium sp. AMS5
metb	T05504	Methanosphaera sp. BMS
metc	T04009	Methanothermobacter sp. CaT2
metd	T05461	Methylobacterium sp. DM1
mete	T05328	Methanothermobacter sp. EMTCatA1
meth	T02957	Methanobacterium sp. MB1
meti	T05919	Methylobacterium sp. 17Sr1-43
metl	T05879	Methylomonas sp. LW13
metm	T03850	Methanosarcina sp. MTP4
metn	T05317	Methanobacterium sp. MZ-A1
meto	T05745	Methanobacterium sp. BAmetb5
metp	T05827	Methylibium sp. Pch-M
metr	T04449	Methyloversatilis sp. RAC08
mets	T05724	Methylobacterium sp. 17SD2-17
mett	T05692	Methanobacterium sp. BRmetb2
metx	T05508	Methylobacterium sp. XJLW
mety	T05735	Metakosakonia sp. MRY16-398
metz	T05694	Methanothermobacter sp. MT-2
meu	T04002	Methylophilus sp. TWE2
mev	T01261	Methanohalobium evestigatum
mew	T01509	Methanobacterium paludis
mex	T00640	Methylorubrum extorquens PA1
mey	T03801	Martelella endophytica
meye	T04279	Methanobrevibacter sp. YE315
mez	T01774	Methanocella conradii
mfa	T00342	Methylobacillus flagellatus
mfc	T03396	Methanobacterium formicicum BRM9
mfe	T00976	Methanocaldococcus fervens
mfi	T03743	Methanobacterium formicicum DSM1535
mfl	T00187	Mesoplasma florum L1
mfm	T01402	Mycoplasma fermentans M64
mfn	T05213	Mariprofundus ferrinatatus
mfo	T02392	Methanoregula formicica
mfol	T05657	Microbacterium foliorum
mfp	T02594	Mycoplasma fermentans PG18
mfq	T03538	Mycoplasma flocculare
mfr	T01325	Mycoplasma fermentans JER
mfs	T01175	Methanocaldococcus sp. FS406-22
mft	T04105	Mycolicibacterium fortuitum
mfu	T01558	Myxococcus fulvus
mfv	T01351	Methanothermus fervidus
mfw	T02878	Mesoplasma florum W37
mfz	T05666	Methanosarcina flavescens
mga	T00131	Mycoplasma gallisepticum R(low)
mgac	T02326	Mycoplasma gallisepticum CA06_2006.052-5-2P
mgan	T02327	Mycoplasma gallisepticum NC08_2008.031-4-3P
mgb	T03898	Mycoplasma gallinaceum
mgc	T02209	Mycoplasma genitalium M2321
mge	T00002	Mycoplasma genitalium G37
mgf	T01924	Mycoplasma gallisepticum F
mgg	T05338	Micropruina glycogenica
mgh	T01923	Mycoplasma gallisepticum R(high)
mgi	T00498	Mycolicibacterium gilvum PYR-GCK
mgj	T03441	Candidatus Mycoplasma girerdii
mgl	T01043	Malassezia globosa
mgm	T00427	Magnetococcus marinus
mgn	T02200	Mycoplasma gallisepticum NC06_2006.080-5-2P
mgnc	T02328	Mycoplasma gallisepticum NC96_1596-4-2P
mgo	T04008	Mycolicibacterium goodii
mgot	T05131	Mucilaginibacter gotjawali
mgp	T01523	Meleagris gallopavo (turkey)
mgq	T02210	Mycoplasma genitalium M6282
mgr	T01027	Pyricularia oryzae 70-15
mgry	T05662	Magnetospirillum gryphiswaldense MSR-1
mgs	T02201	Mycoplasma gallisepticum NC95_13295-2-2P
mgt	T02202	Mycoplasma gallisepticum NY01_2001.047-5-1P
mgu	T02208	Mycoplasma genitalium M2288
mgv	T02203	Mycoplasma gallisepticum VA94_7994-1-7P
mgw	T02204	Mycoplasma gallisepticum WI01_2001.043-13-2P
mgx	T02211	Mycoplasma genitalium M6320
mgy	T02960	Magnetospirillum gryphiswaldense MSR-1 v2
mgz	T02953	Mycoplasma gallisepticum S6
mha	T01418	Mycoplasma haemofelis Langford 1
mhad	T04111	Mycobacterium haemophilum
mhae	T02746	Mannheimia haemolytica D153
mhal	T02758	Mannheimia haemolytica USMARC_2286
mham	T02747	Mannheimia haemolytica D171
mhao	T02748	Mannheimia haemolytica D174
mhaq	T03749	Mannheimia haemolytica 89010807N
mhas	T05715	Mycolicibacterium hassiacum
mhat	T03786	Mannheimia haemolytica USDA-ARS-USMARC-184
mhay	T03750	Mannheimia haemolytica 89010807N lktA-
mhaz	T04572	Methanohalophilus halophilus
mhb	T02582	Candidatus Mycoplasma haemominutum
mhc	T02083	Marinobacter hydrocarbonoclasticus ATCC 49840
mhd	T01457	Marinithermus hydrothermalis
mhe	T01666	Mycoplasma haemocanis
mhf	T01944	Mycoplasma haemofelis Ohio2
mhg	T02593	Megamonas hypermegale
mhh	T01730	Mycoplasma hyorhinis GDL-1
mhi	T01990	Methanosaeta harundinacea
mhj	T00260	Mycoplasma hyopneumoniae J
mhk	T05471	Metallosphaera hakonensis JCM 8857 = DSM 7519
mhl	T02329	Candidatus Mycoplasma haemolamae
mhm	T01945	Mycoplasma hyorhinis MCLD
mhn	T01925	Mycoplasma hyopneumoniae 168
mho	T01122	Mycoplasma hominis ATCC 23114
mhom	T03410	Mycoplasma hominis ATCC 27545
mhor	T03933	Methanosarcina horonobensis
mhos	T05238	Microbacterium hominis
mhp	T00264	Mycoplasma hyopneumoniae 7448
mhq	T02523	Mannheimia haemolytica USDA-ARS-USMARC-183
mhr	T01301	Mycoplasma hyorhinis HUB-1
mhs	T02351	Mycoplasma hyorhinis SK76
mht	T02522	Mannheimia haemolytica USDA-ARS-USMARC-185
mhu	T00325	Methanospirillum hungatei
mhv	T02927	Mycoplasma hyorhinis DBS 1050
mhw	T05536	Megasphaera hexanoica
mhx	T02635	Mannheimia haemolytica M42548
mhy	T00206	Mycoplasma hyopneumoniae 232
mhyl	T02675	Mycoplasma hyopneumoniae 168-L
mhyo	T02750	Mycoplasma hyopneumoniae 7422
mhyv	T05673	Mycoplasma hyosynoviae
mhz	T02418	Methanomethylovorans hollandica
mia	T02158	Mycobacterium intracellulare ATCC 13950
mib	T04022	Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
mic	T02374	Microcoleus sp. PCC 7113
micb	T05583	Micromonospora sp. B006
micc	T04560	Microbulbifer aggregans
micr	T04912	Microbacterium sp. 1.5R
mid	T02325	Mycobacterium intracellulare subsp. intracellulare
mif	T01234	Methanocaldococcus infernus
mig	T01510	Methanotorris igneus
mih	T04827	Microbacterium sp. BH-3-3-3
mii	T05421	Microbulbifer sp. A4B17
mil	T01379	Micromonospora sp. L5
mim	T04046	Microbacterium sp. CGR1
min	T00727	Methylacidiphilum infernorum
minf	T05565	Mesotoga infera
mio	T04102	Microbacterium sp. No. 7
mip	T04312	Microbacterium sp. PAMC 28756
miq	T05365	Microcystis sp. MC19
mir	T01755	Mycobacterium paraintracellulare
mis	T02695	Micromonas commoda
mit	T01754	Mycobacterium intracellulare MOTT-02
miu	T04402	Mitsuaria sp. 7
miv	T05470	Microvirga sp. 17 mud 1-3
mix	T04243	Microbacterium sp. XT11
miz	T04755	Mycobacteroides immunogenum
mja	T00003	Methanocaldococcus jannaschii
mjd	T01512	Mycolicibacter sinensis
mjh	T03253	Methanocaldococcus bathoardescens
mjl	T00482	Mycobacterium sp. JLS
mka	T00078	Methanopyrus kandleri
mkm	T00442	Mycobacterium sp. KMS
mkn	T02887	Mycobacterium kansasii ATCC 12478
mko	T05118	Methylomonas koyamae
mla	T00472	Methanocorpusculum labreanum
mlac	T05127	Mesoplasma lactucae
mlb	T00842	Mycobacterium leprae Br4923
mlc	T01367	Mycoplasma leachii PG50
mle	T00047	Mycobacterium leprae TN
mlg	T05824	Methylovirgula ligni
mlh	T02144	Mycoplasma leachii 99/014/6
mli	T02444	Mycobacterium liflandii
mll	T05032	Mycolicibacterium litorale
mln	T04711	Mesorhizobium loti NZP2037
mlo	T00043	Mesorhizobium japonicum MAFF 303099
mlp	T05534	Mycobacterium lepraemurium
mlq	T04470	Marinobacter sp. LQ44
mlr	T03138	Melampsora larici-populina
mls	T03822	Methanosarcina lacustris
mlt	T03884	Muricauda lutaonensis
mlu	T00918	Micrococcus luteus
mma	T00082	Methanosarcina mazei Go1
mmac	T04626	Methanosarcina mazei C16
mmae	T04774	Mycobacterium marinum E11
mmai	T05638	Methylocaldum marinum
mmal	T05049	Mycobacterium marseillense
mmar	T02167	Modestobacter marinus
mmas	T05096	Myxococcus macrosporus
mmaz	T02477	Methanosarcina mazei Tuc01
mmb	T00942	Methylotenera mobilis
mmc	T00367	Mycobacterium sp. MCS
mmd	T01584	Methanococcus maripaludis X1
mme	T01449	Marinomonas mediterranea
mmed	T04757	Martelella mediterranea
mmet	T03913	Methanococcoides methylutens
mmg	T01297	Methanothermobacter marburgensis
mmh	T01211	Methanohalophilus mahii
mmi	T00694	Mycobacterium marinum M
mmic	T04291	Mycobacterium tuberculosis variant microti
mmil	T04203	Methanobrevibacter millerae
mmj	T04532	Methanosarcina mazei S-6
mmk	T02496	Morganella morganii
mml	T01478	Mycoplasma mycoides subsp. capri LC 95010
mmm	T02113	Mycobacterium sp. MOTT36Y
mmn	T01561	Candidatus Midichloria mitochondrii
mmo	T00176	Mycoplasma mobile
mmp	T00164	Methanococcus maripaludis S2
mmq	T00491	Methanococcus maripaludis C5
mmr	T00394	Maricaulis maris
mms	T00561	Janthinobacterium sp. Marseille
mmt	T01511	Methylomonas methanica
mmu	T01002	Mus musculus (mouse)
mmv	T02177	Mycobacteroides abscessus subsp. massiliense GO 06
mmw	T00567	Marinomonas sp. MWYL1
mmx	T00615	Methanococcus maripaludis C6
mmy	T00161	Mycoplasma mycoides subsp. mycoides SC PG1
mmyi	T03541	Mycoplasma mycoides subsp. mycoides izsam_mm5713
mmym	T02595	Mycoplasma mycoides subsp. mycoides SC Gladysdale
mmyr	T05588	Maritalea myrionectae
mmz	T00553	Methanococcus maripaludis C7
mna	T05883	Miniopterus natalensis
mne	T02959	Mycolicibacterium neoaurum
mng	T05028	Monoraphidium neglectum
mno	T00839	Methylobacterium nodulans
mnr	T04026	Massilia sp. NR 4-1
moc	T05139	Microvirga ossetica
mod	T04190	Myroides odoratimimus
moi	T04329	Moraxella ovis
mok	T01534	Methanothermococcus okinawensis
mol	T04385	Methanobrevibacter olleyae
moo	T05832	Microbacterium oleivorans
mop	T01542	Mesorhizobium opportunistum
mor	T03299	Methylobacterium oryzae
mos	T04294	Moraxella osloensis
mov	T02962	Mycoplasma ovis
mox	T02155	Candidatus Methylomirabilis oxyfera
mpa	T00156	Mycobacterium avium subsp. paratuberculosis K-10
mpah	T05929	Mus pahari (shrew mouse)
mpal	T04601	Microbacterium paludicola
mpb	T02596	Mycoplasma pneumoniae M129-B7
mpc	T01508	Marinomonas posidonica
mpd	T01142	Methanocella paludicola
mpe	T00107	Mycoplasma penetrans
mpf	T01599	Mycoplasma putrefaciens KS1
mpg	T02123	Mesotoga prima
mph	T01535	Microlunatus phosphovorus
mpha	T05760	Monomorium pharaonis (pharaoh ant)
mphl	T04305	Mycolicibacterium phlei
mpho	T05577	Mycoplasma phocidae
mphy	T04968	Methylobacterium phyllosphaerae
mpi	T01312	Methanolacinia petrolearia
mpj	T01926	Mycoplasma pneumoniae FH
mpk	T04037	Microcystis panniformis
mpl	T00823	Methanosphaerula palustris
mpm	T01712	Mycoplasma pneumoniae 309
mpn	T00006	Mycoplasma pneumoniae M129
mpo	T00760	Methylorubrum populi
mpp	T02696	Micromonas pusilla
mpq	T03980	Marinobacter psychrophilus
mpr	T01089	Moniliophthora perniciosa
mpro	T04499	Moorea producens
mpru	T05966	Metallosphaera prunae
mps	T01492	Melissococcus plutonius ATCC 35311
mpsy	T04929	Methylovulum psychrotolerans
mpt	T00470	Methylibium petroleiphilum
mpu	T00055	Mycoplasma pulmonis
mpul	T05055	Mycoplasma pullorum
mpur	T03650	Marichromatium purpuratum
mput	T02637	Mycoplasma putrefaciens Mput9231
mpv	T02873	Mycoplasma parvum
mpw	T03631	Myroides profundi
mpx	T01763	Melissococcus plutonius DAT561
mpy	T02280	Methanolobus psychrophilus
mpz	T01665	Marinitoga piezophila
mra	T00540	Mycobacterium tuberculosis H37Ra
mrb	T01193	Meiothermus ruber DSM 1279
mrd	T00674	Methylobacterium radiotolerans
mre	T02636	Meiothermus ruber DSM 1279
mrh	T01685	Mycolicibacterium rhodesiae
mrm	T04613	Minicystis rosea
mro	T02176	Melioribacter roseus
mros	T05721	Methylocystis rosea
mrr	T03137	Moniliophthora roreri
mrs	T01598	Muricauda ruestringensis
mru	T01166	Methanobrevibacter ruminantium
msa	T02423	Mycobacterium sp. JS623
msao	T05445	Mycobacteroides saopaulense
msb	T03433	Mycolicibacterium smegmatis MC2 155
msc	T02324	Methylocystis sp. SC2
msd	T02436	Myxococcus stipitatus
mse	T00509	Metallosphaera sedula
msg	T02191	Mycolicibacterium smegmatis MC2 155
msh	T03432	Mycolicibacterium smegmatis INHR2
mshg	T05717	Mycobacterium shigaense
msi	T00539	Methanobrevibacter smithii
msj	T03863	Methanosarcina siciliae C2J
msk	T01442	Mycoplasma suis KI3806
msl	T00802	Methylocella silvestris
msm	T00434	Mycolicibacterium smegmatis MC2 155
msn	T03409	Mycolicibacterium smegmatis INHR1
mso	T04518	Mycoplasma synoviae ATCC 25204
msp	T01376	Mycolicibacterium gilvum Spyr1
msq	T04766	Marinobacter salinus
msr	T03593	Marinobacter salarius
mss	T01438	Mycoplasma suis Illinois
mst	T00313	Methanosphaera stadtmanae
mste	T05257	Mycobacterium stephanolepidis
msu	T00201	Mannheimia succiniciproducens
msub	T05275	Methanobacterium subterraneum
msv	T01246	Meiothermus silvanus
msw	T03865	Methanosarcina siciliae T4/M
msx	T03594	Marinobacter similis
msy	T00261	Mycoplasma synoviae 53
msyr	T05255	Mesoplasma syrphidae
msz	T03864	Methanosarcina siciliae HI350
mta	T00308	Moorella thermoacetica
mtab	T05273	Mesoplasma tabanidae
mtai	T05633	Meiothermus taiwanensis
mtb	T00940	Mycobacterium tuberculosis KZN 1435
mtc	T00053	Mycobacterium tuberculosis CDC1551
mtd	T02142	Mycobacterium tuberculosis UT205
mte	T01991	Mycobacterium tuberculosis CCDC5079
mter	T05465	Mycolicibacter terrae
mtf	T00545	Mycobacterium tuberculosis F11
mtg	T01775	Mycobacterium tuberculosis RGTB327
mth	T00009	Methanothermobacter thermautotrophicus
mthd	T04393	Microbulbifer thermotolerans
mthe	T03891	Methanosarcina thermophila CHTI-55
mthn	T05542	Mycolicibacterium thermoresistibile
mthr	T03892	Methanosarcina thermophila TM-1
mti	T01994	Mycobacterium tuberculosis RGTB423
mtim	T05448	Massilia oculi
mtj	T02616	Mycobacterium tuberculosis Beijing/NITR203
mtk	T01690	Mycobacterium tuberculosis KZN 4207
mtl	T01992	Mycobacterium tuberculosis CCDC5180
mtm	T02231	Thermothelomyces thermophilus
mtn	T02526	Mycobacterium tuberculosis Erdman = ATCC 35801
mto	T01993	Mycobacterium tuberculosis CTRI-2
mtp	T00417	Methanothrix thermoacetophila
mtq	T03154	Mycobacterium tuberculosis HKBS1
mtr	T01716	Medicago truncatula (barrel medic)
mts	T01423	Microbacterium testaceum
mtt	T01365	Marivirga tractuosa
mtu	T00015	Mycobacterium tuberculosis H37Rv
mtua	T05651	Micromonospora tulbaghiae
mtub	T02617	Mycobacterium tuberculosis 7199-99
mtuc	T02652	Mycobacterium tuberculosis CAS/NITR204
mtue	T02653	Mycobacterium tuberculosis EAI5/NITR206
mtuh	T02654	Mycobacterium tuberculosis Haarlem/NITR202
mtul	T02845	Mycobacterium tuberculosis Haarlem
mtun	T05970	Methylocella tundrae
mtur	T02679	Mycobacterium tuberculosis CCDC5079
mtut	T03152	Mycobacterium tuberculosis BT1
mtuu	T03153	Mycobacterium tuberculosis BT2
mtv	T02178	Mycobacterium tuberculosis H37Rv
mtw	T05155	Methylosinus trichosporium
mtx	T02749	Mycobacterium tuberculosis EAI5
mtz	T02141	Mycobacterium tuberculosis KZN 605
